model,imgsz,seq,fps,median_ms,p95_ms,peak_mem_mb,mean_det,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,frag_ratio
yolo26m.pt,320,MOT17-02,234.9,4.26,4.72,896.4,6.8,0.271,0.392,21,0.396,0.189,0.019
yolo26m.pt,320,MOT17-04,228.9,4.37,4.87,897.0,10.1,0.237,0.318,31,0.392,0.089,0.114
yolo26l.pt,640,MOT17-09,126.8,7.89,8.14,918.7,9.3,0.516,0.631,28,1.077,0.769,0.077
yolo26l.pt,640,MOT17-02,125.7,7.95,8.2,918.6,10.5,0.424,0.557,45,0.849,0.264,0.094
yolo26l.pt,640,MOT17-04,124.1,8.06,8.33,918.6,14.7,0.281,0.434,45,0.57,0.101,0.076
yolo26l.pt,576,MOT17-09,137.4,7.28,7.53,918.6,8.9,0.572,0.634,27,1.038,0.769,0.038
yolo26l.pt,576,MOT17-02,136.0,7.35,7.6,918.5,9.9,0.376,0.53,48,0.906,0.264,0.132
yolo26l.pt,576,MOT17-04,134.8,7.42,7.67,918.6,13.2,0.274,0.389,57,0.722,0.101,0.089
yolo26l.pt,512,MOT17-09,144.5,6.92,7.15,918.5,8.3,0.622,0.586,42,1.615,0.769,0.038
yolo26l.pt,512,MOT17-02,143.0,6.99,7.33,918.7,9.0,0.343,0.517,36,0.679,0.264,0.075
yolo26l.pt,512,MOT17-04,142.3,7.03,7.28,918.8,11.2,0.246,0.391,29,0.367,0.101,0.076
yolo26l.pt,448,MOT17-09,166.1,6.02,6.21,918.4,8.1,0.642,0.67,37,1.423,0.808,0.115
yolo26l.pt,448,MOT17-02,166.0,6.03,6.31,918.6,8.1,0.332,0.474,32,0.604,0.245,0.057
yolo26l.pt,448,MOT17-04,163.9,6.1,6.32,918.6,11.1,0.246,0.383,25,0.316,0.101,0.013
yolo26l.pt,384,MOT17-09,164.4,6.08,6.3,918.6,7.9,0.656,0.621,42,1.615,0.769,0.077
yolo26l.pt,384,MOT17-02,165.5,6.04,6.28,918.6,6.9,0.326,0.47,29,0.547,0.226,0.132
yolo26l.pt,384,MOT17-04,163.3,6.12,6.39,918.1,10.1,0.227,0.331,22,0.278,0.089,0.063
yolo26l.pt,320,MOT17-09,189.0,5.29,5.81,918.6,7.2,0.718,0.66,32,1.231,0.769,0.038
yolo26l.pt,320,MOT17-02,186.7,5.36,5.88,918.4,6.2,0.305,0.437,21,0.396,0.226,0.094
yolo26l.pt,320,MOT17-04,185.7,5.38,5.97,918.4,9.0,0.193,0.294,19,0.241,0.076,0.038
yolo26x.pt,640,MOT17-09,79.2,12.63,12.92,1015.4,8.9,0.586,0.642,30,1.154,0.769,0.038
yolo26x.pt,640,MOT17-02,78.3,12.76,13.08,1015.3,11.9,0.395,0.522,50,0.943,0.283,0.075
yolo26x.pt,640,MOT17-04,78.3,12.77,13.2,1016.6,12.8,0.283,0.427,31,0.392,0.101,0.025
